epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0913,1.12902,2.81231,1.16341,0.01138,1,0.82858,0.64893,0.71474,3.04234,0.80224,0.00024,0.00024,0.00024
2,137.784,1.06797,1.59876,1.06935,0.00522,1,0.67734,0.57047,0.53999,3.14529,0.89798,0.00049505,0.00049505,0.00049505
3,207.369,1.01592,1.26376,1.11261,0.00522,1,0.05605,0.03518,1.09093,3.28732,1.16313,0.000744952,0.000744952,0.000744952
4,279.274,1.11321,1.19516,1.12596,0.01081,1,0.9648,0.71394,0.99071,2.92034,1.11782,0.000989706,0.000989706,0.000989706
5,343.97,0.9735,1.11114,1.05858,0.93633,0.91489,0.96668,0.76376,0.94073,1.90155,1.18974,0.00122931,0.00122931,0.00122931
6,412.37,1.06096,1.07082,1.10248,0.9521,0.8459,0.95245,0.76722,0.79955,1.98542,1.05492,0.00146377,0.00146377,0.00146377
7,475.256,1.00696,1.04486,1.07752,0.95789,0.48411,0.8151,0.6422,0.93896,2.34571,1.07172,0.00169308,0.00169308,0.00169308
8,542.375,1.03913,0.95819,1.14365,0.89088,0.8686,0.92856,0.69764,0.97089,1.58003,1.1523,0.0018614,0.0018614,0.0018614
9,605.863,1.01184,0.89284,1.09426,0.90906,0.93617,0.95471,0.70164,0.93951,1.28622,1.12631,0.0018416,0.0018416,0.0018416
10,671.036,1.06486,0.91258,1.13229,0.95088,0.80851,0.95906,0.75495,0.86092,1.13066,1.10984,0.0018218,0.0018218,0.0018218
11,740.677,0.96291,0.83327,1.09007,0.58715,0.55319,0.63341,0.40852,1.37887,1.58687,1.36181,0.001802,0.001802,0.001802
